,INTERVAL_DATETIME,REGIONID,ACTUAL_OPERATIONAL_DEMAND,LASTCHANGED
1,1/1/2022 0:00,NSW1,7329,1/1/2022 0:00
2,1/1/2022 0:30,NSW1,7145,1/1/2022 0:30
3,1/1/2022 1:00,NSW1,6891,1/1/2022 1:00
4,1/1/2022 1:30,NSW1,6578,1/1/2022 1:30
5,1/1/2022 2:00,NSW1,6306,1/1/2022 2:00
6,1/1/2022 2:30,NSW1,6163,1/1/2022 2:30
7,1/1/2022 3:00,NSW1,6057,1/1/2022 3:00
8,1/1/2022 3:30,NSW1,6001,1/1/2022 3:30
9,1/1/2022 4:00,NSW1,5951,1/1/2022 4:00
10,1/1/2022 4:30,NSW1,5953,1/1/2022 4:30
11,1/1/2022 5:00,NSW1,5903,1/1/2022 5:00
12,1/1/2022 5:30,NSW1,5894,1/1/2022 5:30
13,1/1/2022 6:00,NSW1,5809,1/1/2022 6:00
14,1/1/2022 6:30,NSW1,5778,1/1/2022 6:30
15,1/1/2022 7:00,NSW1,5773,1/1/2022 7:00
16,1/1/2022 7:30,NSW1,5779,1/1/2022 7:30
17,1/1/2022 8:00,NSW1,5782,1/1/2022 8:00
18,1/1/2022 8:30,NSW1,5765,1/1/2022 8:30
19,1/1/2022 9:00,NSW1,5735,1/1/2022 9:00
20,1/1/2022 9:30,NSW1,5705,1/1/2022 9:30
21,1/1/2022 10:00,NSW1,5660,1/1/2022 10:00
22,1/1/2022 10:30,NSW1,5664,1/1/2022 10:30
23,1/1/2022 11:00,NSW1,5756,1/1/2022 11:00
24,1/1/2022 11:30,NSW1,5889,1/1/2022 11:30
25,1/1/2022 12:00,NSW1,6022,1/1/2022 12:00
26,1/1/2022 12:30,NSW1,6065,1/1/2022 12:30
27,1/1/2022 13:00,NSW1,6172,1/1/2022 13:00
28,1/1/2022 13:30,NSW1,6290,1/1/2022 13:30
29,1/1/2022 14:00,NSW1,6540,1/1/2022 14:00
30,1/1/2022 14:30,NSW1,6719,1/1/2022 14:30
31,1/1/2022 15:00,NSW1,6933,1/1/2022 15:00
32,1/1/2022 15:30,NSW1,7353,1/1/2022 15:30
33,1/1/2022 16:00,NSW1,7616,1/1/2022 16:00
34,1/1/2022 16:30,NSW1,7816,1/1/2022 16:30
35,1/1/2022 17:00,NSW1,8050,1/1/2022 17:00
36,1/1/2022 17:30,NSW1,8192,1/1/2022 17:30
37,1/1/2022 18:00,NSW1,8290,1/1/2022 18:00
38,1/1/2022 18:30,NSW1,8290,1/1/2022 18:30
39,1/1/2022 19:00,NSW1,8294,1/1/2022 19:00
40,1/1/2022 19:30,NSW1,8245,1/1/2022 19:30
41,1/1/2022 20:00,NSW1,8249,1/1/2022 20:00
42,1/1/2022 20:30,NSW1,8132,1/1/2022 20:30
43,1/1/2022 21:00,NSW1,7959,1/1/2022 21:00
44,1/1/2022 21:30,NSW1,7820,1/1/2022 21:30
45,1/1/2022 22:00,NSW1,7674,1/1/2022 22:00
46,1/1/2022 22:30,NSW1,7504,1/1/2022 22:30
47,1/1/2022 23:00,NSW1,7300,1/1/2022 23:00
48,1/1/2022 23:30,NSW1,7120,1/1/2022 23:30
49,1/2/2022 0:00,NSW1,6980,1/2/2022 0:00
50,1/2/2022 0:30,NSW1,6792,1/2/2022 0:30
51,1/2/2022 1:00,NSW1,6589,1/2/2022 1:00
