,INTERVAL_DATETIME,REGIONID,LOAD_DATE,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90,LASTCHANGED
1,1/1/2022 0:00,NSW1,12/31/2021 22:57,7451,7336,7221,12/31/2021 22:57
2,1/1/2022 0:30,NSW1,12/31/2021 23:57,7288,7151,7013,12/31/2021 23:57
3,1/1/2022 1:00,NSW1,1/1/2022 0:27,7032,6899,6766,1/1/2022 0:27
4,1/1/2022 1:30,NSW1,1/1/2022 0:57,6711,6585,6458,1/1/2022 0:57
5,1/1/2022 2:00,NSW1,1/1/2022 1:27,6450,6328,6206,1/1/2022 1:27
6,1/1/2022 2:30,NSW1,1/1/2022 1:57,6233,6115,5997,1/1/2022 1:57
7,1/1/2022 3:00,NSW1,1/1/2022 2:27,6164,6048,5931,1/1/2022 2:27
8,1/1/2022 3:30,NSW1,1/1/2022 2:57,6084,5969,5854,1/1/2022 2:57
9,1/1/2022 4:00,NSW1,1/1/2022 3:27,6027,5913,5799,1/1/2022 3:27
10,1/1/2022 4:30,NSW1,1/1/2022 3:57,5981,5868,5755,1/1/2022 3:57
11,1/1/2022 5:00,NSW1,1/1/2022 4:27,5951,5839,5726,1/1/2022 4:27
12,1/1/2022 5:30,NSW1,1/1/2022 4:57,5884,5772,5661,1/1/2022 4:57
13,1/1/2022 6:00,NSW1,1/1/2022 5:27,5940,5828,5715,1/1/2022 5:27
14,1/1/2022 6:30,NSW1,1/1/2022 5:57,5937,5824,5712,1/1/2022 5:57
15,1/1/2022 7:00,NSW1,1/1/2022 6:27,5963,5850,5737,1/1/2022 6:27
16,1/1/2022 7:30,NSW1,1/1/2022 6:57,5986,5872,5759,1/1/2022 6:57
17,1/1/2022 8:00,NSW1,1/1/2022 7:27,5946,5834,5721,1/1/2022 7:27
18,1/1/2022 8:30,NSW1,1/1/2022 7:57,6032,5918,5804,1/1/2022 7:57
19,1/1/2022 9:00,NSW1,1/1/2022 8:27,5799,5689,5580,1/1/2022 8:27
20,1/1/2022 9:30,NSW1,1/1/2022 8:57,5893,5781,5670,1/1/2022 8:57
21,1/1/2022 10:00,NSW1,1/1/2022 9:27,5772,5663,5553,1/1/2022 9:27
22,1/1/2022 10:30,NSW1,1/1/2022 9:57,5798,5688,5578,1/1/2022 9:57
23,1/1/2022 11:00,NSW1,1/1/2022 10:27,5772,5663,5554,1/1/2022 10:27
24,1/1/2022 11:30,NSW1,1/1/2022 10:57,5932,5820,5708,1/1/2022 10:57
25,1/1/2022 12:00,NSW1,1/1/2022 11:27,6085,5970,5855,1/1/2022 11:27
26,1/1/2022 12:30,NSW1,1/1/2022 11:57,6186,6069,5952,1/1/2022 11:57
27,1/1/2022 13:00,NSW1,1/1/2022 12:27,6230,6112,5994,1/1/2022 12:27
28,1/1/2022 13:30,NSW1,1/1/2022 12:57,6384,6263,6142,1/1/2022 12:57
29,1/1/2022 14:00,NSW1,1/1/2022 13:28,6508,6385,6262,1/1/2022 13:28
30,1/1/2022 14:30,NSW1,1/1/2022 13:58,6833,6704,6575,1/1/2022 13:58
31,1/1/2022 15:00,NSW1,1/1/2022 14:28,6997,6864,6732,1/1/2022 14:28
32,1/1/2022 15:30,NSW1,1/1/2022 14:58,7287,7149,7011,1/1/2022 14:58
33,1/1/2022 16:00,NSW1,1/1/2022 15:27,7815,7667,7519,1/1/2022 15:27
34,1/1/2022 16:30,NSW1,1/1/2022 15:57,7923,7773,7623,1/1/2022 15:57
35,1/1/2022 17:00,NSW1,1/1/2022 16:28,8189,8035,7880,1/1/2022 16:28
36,1/1/2022 17:30,NSW1,1/1/2022 16:57,8368,8210,8052,1/1/2022 16:57
37,1/1/2022 18:00,NSW1,1/1/2022 17:27,8400,8241,8082,1/1/2022 17:27
38,1/1/2022 18:30,NSW1,1/1/2022 17:57,8447,8288,8128,1/1/2022 17:57
39,1/1/2022 19:00,NSW1,1/1/2022 18:27,8385,8226,8068,1/1/2022 18:27
40,1/1/2022 19:30,NSW1,1/1/2022 18:57,8420,8261,8102,1/1/2022 18:57
41,1/1/2022 20:00,NSW1,1/1/2022 19:27,8369,8211,8053,1/1/2022 19:27
42,1/1/2022 20:30,NSW1,1/1/2022 19:57,8301,8144,7987,1/1/2022 19:57
43,1/1/2022 21:00,NSW1,1/1/2022 20:27,8149,7995,7841,1/1/2022 20:27
44,1/1/2022 21:30,NSW1,1/1/2022 20:57,7927,7777,7627,1/1/2022 20:57
45,1/1/2022 22:00,NSW1,1/1/2022 21:27,7830,7682,7534,1/1/2022 21:27
46,1/1/2022 22:30,NSW1,1/1/2022 21:57,7705,7559,7414,1/1/2022 21:57
47,1/1/2022 23:00,NSW1,1/1/2022 22:27,7422,7281,7141,1/1/2022 22:27
48,1/1/2022 23:30,NSW1,1/1/2022 22:57,7209,7073,6937,1/1/2022 22:57
49,1/2/2022 0:00,NSW1,1/1/2022 22:57,7082,6917,6752,1/1/2022 22:57
50,1/2/2022 0:30,NSW1,1/1/2022 23:57,6928,6797,6666,1/1/2022 23:57
51,1/2/2022 1:00,NSW1,1/2/2022 0:27,6726,6599,6472,1/2/2022 0:27
52,1/2/2022 1:30,NSW1,1/2/2022 0:57,6475,6352,6230,1/2/2022 0:57
53,1/2/2022 2:00,NSW1,1/2/2022 1:27,6280,6162,6043,1/2/2022 1:27
54,1/2/2022 2:30,NSW1,1/2/2022 1:57,6171,6054,5937,1/2/2022 1:57
55,1/2/2022 3:00,NSW1,1/2/2022 2:27,6095,5979,5864,1/2/2022 2:27
56,1/2/2022 3:30,NSW1,1/2/2022 2:57,6055,5940,5826,1/2/2022 2:57
57,1/2/2022 4:00,NSW1,1/2/2022 3:27,6030,5916,5802,1/2/2022 3:27
58,1/2/2022 4:30,NSW1,1/2/2022 3:57,6013,5900,5786,1/2/2022 3:57
59,1/2/2022 5:00,NSW1,1/2/2022 4:28,6046,5932,5818,1/2/2022 4:28
60,1/2/2022 5:30,NSW1,1/2/2022 4:57,6031,5917,5803,1/2/2022 4:57
61,1/2/2022 6:00,NSW1,1/2/2022 5:27,6049,5935,5820,1/2/2022 5:27
62,1/2/2022 6:30,NSW1,1/2/2022 5:57,6026,5912,5798,1/2/2022 5:57
63,1/2/2022 7:00,NSW1,1/2/2022 6:27,6058,5943,5829,1/2/2022 6:27
64,1/2/2022 7:30,NSW1,1/2/2022 6:57,6035,5921,5806,1/2/2022 6:57
65,1/2/2022 8:00,NSW1,1/2/2022 7:27,6130,6014,5898,1/2/2022 7:27
66,1/2/2022 8:30,NSW1,1/2/2022 7:57,6085,5970,5854,1/2/2022 7:57
67,1/2/2022 9:00,NSW1,1/2/2022 8:27,6075,5960,5845,1/2/2022 8:27
68,1/2/2022 9:30,NSW1,1/2/2022 8:57,5991,5877,5764,1/2/2022 8:57
69,1/2/2022 10:00,NSW1,1/2/2022 9:27,6091,5975,5860,1/2/2022 9:27
70,1/2/2022 10:30,NSW1,1/2/2022 9:57,6148,6032,5916,1/2/2022 9:57
71,1/2/2022 11:00,NSW1,1/2/2022 10:27,6218,6101,5983,1/2/2022 10:27
72,1/2/2022 11:30,NSW1,1/2/2022 10:57,6292,6173,6054,1/2/2022 10:57
73,1/2/2022 12:00,NSW1,1/2/2022 11:27,6457,6335,6213,1/2/2022 11:27
74,1/2/2022 12:30,NSW1,1/2/2022 11:57,6600,6475,6350,1/2/2022 11:57
75,1/2/2022 13:00,NSW1,1/2/2022 12:27,6706,6579,6452,1/2/2022 12:27
76,1/2/2022 13:30,NSW1,1/2/2022 12:57,7080,6946,6812,1/2/2022 12:57
77,1/2/2022 14:00,NSW1,1/2/2022 13:27,7234,7098,6961,1/2/2022 13:27
78,1/2/2022 14:30,NSW1,1/2/2022 13:57,7461,7320,7179,1/2/2022 13:57
79,1/2/2022 15:00,NSW1,1/2/2022 14:27,7761,7615,7468,1/2/2022 14:27
80,1/2/2022 15:30,NSW1,1/2/2022 14:57,8041,7889,7737,1/2/2022 14:57
81,1/2/2022 16:00,NSW1,1/2/2022 15:27,8379,8221,8062,1/2/2022 15:27
82,1/2/2022 16:30,NSW1,1/2/2022 15:57,8710,8546,8381,1/2/2022 15:57
83,1/2/2022 17:00,NSW1,1/2/2022 16:27,9179,9005,8832,1/2/2022 16:27
84,1/2/2022 17:30,NSW1,1/2/2022 16:57,9437,9258,9080,1/2/2022 16:57
85,1/2/2022 18:00,NSW1,1/2/2022 17:27,9624,9442,9260,1/2/2022 17:27
86,1/2/2022 18:30,NSW1,1/2/2022 17:57,9558,9377,9196,1/2/2022 17:57
87,1/2/2022 19:00,NSW1,1/2/2022 18:27,9398,9220,9043,1/2/2022 18:27
88,1/2/2022 19:30,NSW1,1/2/2022 18:57,9205,9031,8856,1/2/2022 18:57
89,1/2/2022 20:00,NSW1,1/2/2022 19:27,8944,8775,8605,1/2/2022 19:27
90,1/2/2022 20:30,NSW1,1/2/2022 19:57,8788,8622,8455,1/2/2022 19:57
91,1/2/2022 21:00,NSW1,1/2/2022 20:27,8580,8418,8256,1/2/2022 20:27
92,1/2/2022 21:30,NSW1,1/2/2022 20:57,8343,8185,8027,1/2/2022 20:57
93,1/2/2022 22:00,NSW1,1/2/2022 21:27,8106,7953,7800,1/2/2022 21:27
94,1/2/2022 22:30,NSW1,1/2/2022 21:57,7951,7801,7650,1/2/2022 21:57
95,1/2/2022 23:00,NSW1,1/2/2022 22:27,7701,7555,7409,1/2/2022 22:27
96,1/2/2022 23:30,NSW1,1/2/2022 22:57,7452,7311,7170,1/2/2022 22:57
97,1/3/2022 0:00,NSW1,1/2/2022 22:57,7310,7140,6970,1/2/2022 22:57
98,1/3/2022 0:30,NSW1,1/2/2022 23:57,7108,6974,6839,1/2/2022 23:57
99,1/3/2022 1:00,NSW1,1/3/2022 0:27,6872,6742,6612,1/3/2022 0:27
100,1/3/2022 1:30,NSW1,1/3/2022 0:57,6621,6496,6371,1/3/2022 0:57
101,1/3/2022 2:00,NSW1,1/3/2022 1:27,6414,6293,6172,1/3/2022 1:27
102,1/3/2022 2:30,NSW1,1/3/2022 1:57,6284,6165,6047,1/3/2022 1:57
103,1/3/2022 3:00,NSW1,1/3/2022 2:27,6181,6064,5947,1/3/2022 2:27
104,1/3/2022 3:30,NSW1,1/3/2022 2:57,6171,6054,5937,1/3/2022 2:57
105,1/3/2022 4:00,NSW1,1/3/2022 3:27,6096,5981,5866,1/3/2022 3:27
106,1/3/2022 4:30,NSW1,1/3/2022 3:57,6143,6027,5911,1/3/2022 3:57
107,1/3/2022 5:00,NSW1,1/3/2022 4:27,6180,6063,5946,1/3/2022 4:27
108,1/3/2022 5:30,NSW1,1/3/2022 4:57,6281,6162,6044,1/3/2022 4:57
109,1/3/2022 6:00,NSW1,1/3/2022 5:27,6304,6185,6065,1/3/2022 5:27
110,1/3/2022 6:30,NSW1,1/3/2022 5:57,6403,6282,6161,1/3/2022 5:57
111,1/3/2022 7:00,NSW1,1/3/2022 6:27,6397,6276,6155,1/3/2022 6:27
112,1/3/2022 7:30,NSW1,1/3/2022 6:57,6522,6398,6275,1/3/2022 6:57
113,1/3/2022 8:00,NSW1,1/3/2022 7:27,6463,6340,6218,1/3/2022 7:27
114,1/3/2022 8:30,NSW1,1/3/2022 7:57,6474,6352,6229,1/3/2022 7:57
115,1/3/2022 9:00,NSW1,1/3/2022 8:27,6306,6187,6068,1/3/2022 8:27
116,1/3/2022 9:30,NSW1,1/3/2022 8:57,6514,6391,6268,1/3/2022 8:57
117,1/3/2022 10:00,NSW1,1/3/2022 9:27,6569,6445,6321,1/3/2022 9:27
118,1/3/2022 10:30,NSW1,1/3/2022 9:57,6637,6511,6385,1/3/2022 9:57
119,1/3/2022 11:00,NSW1,1/3/2022 10:27,6588,6463,6339,1/3/2022 10:27
120,1/3/2022 11:30,NSW1,1/3/2022 10:57,6661,6535,6409,1/3/2022 10:57
121,1/3/2022 12:00,NSW1,1/3/2022 11:27,6754,6626,6498,1/3/2022 11:27
122,1/3/2022 12:30,NSW1,1/3/2022 11:57,6835,6706,6577,1/3/2022 11:57
123,1/3/2022 13:00,NSW1,1/3/2022 12:27,6935,6803,6672,1/3/2022 12:27
124,1/3/2022 13:30,NSW1,1/3/2022 12:57,7024,6891,6758,1/3/2022 12:57
125,1/3/2022 14:00,NSW1,1/3/2022 13:27,7136,7001,6866,1/3/2022 13:27
126,1/3/2022 14:30,NSW1,1/3/2022 13:57,7411,7271,7131,1/3/2022 13:57
127,1/3/2022 15:00,NSW1,1/3/2022 14:27,7639,7494,7350,1/3/2022 14:27
128,1/3/2022 15:30,NSW1,1/3/2022 14:57,7952,7802,7651,1/3/2022 14:57
129,1/3/2022 16:00,NSW1,1/3/2022 15:27,8205,8050,7894,1/3/2022 15:27
130,1/3/2022 16:30,NSW1,1/3/2022 15:57,8600,8438,8275,1/3/2022 15:57
131,1/3/2022 17:00,NSW1,1/3/2022 16:27,8839,8672,8505,1/3/2022 16:27
132,1/3/2022 17:30,NSW1,1/3/2022 16:57,9036,8865,8694,1/3/2022 16:57
133,1/3/2022 18:00,NSW1,1/3/2022 17:27,9202,9028,8854,1/3/2022 17:27
134,1/3/2022 18:30,NSW1,1/3/2022 17:57,9177,9004,8830,1/3/2022 17:57
135,1/3/2022 19:00,NSW1,1/3/2022 18:27,9064,8893,8721,1/3/2022 18:27
