INTERVAL_DATETIME,REGIONID,LOAD_DATE,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90,LASTCHANGED
1/1/2023 0:00,NSW1,12/31/2022 22:57,7172,7041,6910,12/31/2022 22:57
1/1/2023 0:30,NSW1,12/31/2022 23:57,6984,6871,6758,12/31/2022 23:57
1/1/2023 1:00,NSW1,1/1/2023 0:27,6772,6662,6553,1/1/2023 0:27
1/1/2023 1:30,NSW1,1/1/2023 0:58,6551,6445,6339,1/1/2023 0:58
1/1/2023 2:00,NSW1,1/1/2023 1:28,6353,6251,6148,1/1/2023 1:28
1/1/2023 2:30,NSW1,1/1/2023 1:58,6227,6126,6025,1/1/2023 1:58
1/1/2023 3:00,NSW1,1/1/2023 2:28,6124,6025,5925,1/1/2023 2:28
1/1/2023 3:30,NSW1,1/1/2023 2:58,6037,5940,5842,1/1/2023 2:58
1/1/2023 4:00,NSW1,1/1/2023 3:28,5984,5887,5790,1/1/2023 3:28
1/1/2023 4:30,NSW1,1/1/2023 3:58,5957,5861,5765,1/1/2023 3:58
1/1/2023 5:00,NSW1,1/1/2023 4:27,5932,5836,5740,1/1/2023 4:27
1/1/2023 5:30,NSW1,1/1/2023 4:57,5881,5786,5691,1/1/2023 4:57
1/1/2023 6:00,NSW1,1/1/2023 5:27,5890,5794,5699,1/1/2023 5:27
1/1/2023 6:30,NSW1,1/1/2023 5:57,5898,5803,5707,1/1/2023 5:57
1/1/2023 7:00,NSW1,1/1/2023 6:28,5863,5768,5674,1/1/2023 6:28
1/1/2023 7:30,NSW1,1/1/2023 6:57,5909,5813,5718,1/1/2023 6:57
1/1/2023 8:00,NSW1,1/1/2023 7:27,5890,5795,5699,1/1/2023 7:27
1/1/2023 8:30,NSW1,1/1/2023 7:57,5876,5781,5686,1/1/2023 7:57
1/1/2023 9:00,NSW1,1/1/2023 8:27,5920,5825,5729,1/1/2023 8:27
1/1/2023 9:30,NSW1,1/1/2023 8:57,5905,5809,5714,1/1/2023 8:57
